Full Command,Short Form,RMS System,Description,Workflow Steps
_FC|$mode:,_FC,general,Comprehensive functions check - connectivity, interactivity, login, and system initialization,"1: log ""Starting comprehensive functions check for: $mode"" 2: create_dir ""dataPull_Arch"" if not exists; create_file ""Master_Instructions.txt"" with content: ""# Master Instructions - dataPull Agent Learning File..."" 3: test_connectivity: ping test; check internet connection; verify system responsiveness 4: test_interactivity: - take screenshot; verify screen capture works - test mouse operations: mouse_move to safe area; left_click; verify click registered - test keyboard: type test string; verify text entry works - test OCR: capture text area; verify OCR functionality 5: if $mode == ""RMS"": - nav RMS system; verify navigation works - login [RMS_USERNAME]|[RMS_PASSWORD]; verify login success - test basic RMS functions: search, view, navigate - log ""RMS connection verified and functional"" 6: if $mode == ""OSINT"": - nav OSINT sources; verify access - test search functionality; verify results - log ""OSINT connection verified and functional"" 7: if $mode == ""conn"": - establish general connection; test basic operations - verify system responsiveness; test error handling - log ""General connection verified and functional"" 8: create_file ""Session_Log_[timestamp].txt"" with content: ""Session started: [timestamp] Functions check completed successfully System ready for operations Master_Instructions.txt initialized"" 9: log ""Functions check complete - system ready for operations"" 10: exit"
_COPWARE_LOOKUP|$Question:,_COP,general,Search COPWARE db via NLP query synthesize answer & cite sources,"1: call FC (foc conn) 2: nav ""content.copware.com""; if insecure warn click elsewhere to dismiss 3: login [COPWARE_USERNAME]|[COPWARE_PASSWORD]; CRITICAL: click mouse into PW field do not Tab 4: find/click ""Advanced Search"" 5: type keywords from $Question in search fld; subm 6: loop res: OCR src name; click link; OCR doc txt; if info suff break; else click ""Next Hit Doc"" 7: comp summ of all finds; fmt JSON out: {summary citations}"
_PURGE_FILES|$CONFIRM:,_PURGE,general,DANGER: Perm del dataPull_Arch all desktop logs/txt & empty Recycle Bin,"1: if $CONFIRM != ""CONFIRM_PURGE"" log ""Err: Confirmation mismatch. Aborting."" ; exit 2: nav Desktop 3: del ""dataPull_Arch""; del ""*.txt""; R-click Recycle Bin - - 4: log ""Purge complete."" ; exit"
_FORCE_FC|$mode:,_FFC,general,force FC (full/partial ex $mode=full/rms_only),"1: log ""Forced FC init mode: $mode""; call FC; out FC JSON"
_SELF_EVAL|$mode:,_SE,general,self eval ($mode=full/diag/prompt_anlyz/etc),"1: log ""Self-eval init mode: $mode"" 2: if $mode == ""full"": run comprehensive self-evaluation; check all workflows; test connections 3: if $mode == ""diag"": run diagnostic checks; identify system issues 4: if $mode == ""prompt_anlyz"": analyze prompt effectiveness; suggest improvements 5: collect performance metrics; analyze success rates; identify issues 6: format results as JSON: {evaluation_type success_rate issues_found recommendations} 7: log ""Self-evaluation complete""; exit"
_UNKNOWN_QUERY_NLP|$Q_TXT:,_UQN,general,hndl unfmt qry,"1: anlyz $Q_TXT NLP intent; create POA; extr info; fmt JSON"
_PERSON_LOOKUP|$LN|$FN:,_PRL,general,RMS pers srch,"1: call FC (foc RMS); nav person search; enter $LN/$FN; subm; OCR extr; fmt JSON"
_CASE_LOOKUP|$CN:,_CL,general,RMS case/incident srch,"1: call FC (foc RMS); nav case search; enter $CN; subm; OCR extr; apply DRT"
_ADDRESS_LOOKUP|$HN|$ST:,_AL,general,RMS addr srch,"1: call FC; nav Addr Srch; inp $HN|$ST; subm; extr; JSON"
_LICENSE_PLATE_LOOKUP|$PN:,_LPL,general,RMS plate srch,"1: call FC (foc RMS); nav plate search; enter $PN; subm; OCR extr; fmt JSON"
_DIAGNOSTIC_INPUT_CHECK|$mode:,_DIC,general,Verify keyboard and mouse input mappings,"1: if ""keyboard"" or ""full"" launch notepad type test string verify combos (Ctrl+A/C/V); launch browser to keyboardchecker.com test special keys. 2: if ""mouse"" or ""full"" test click drag scroll wheel; verify precision. 3: if ""full"" test input combinations; verify system responsiveness. 4: log results; exit"
_INITIATE|$start:,_INIT,general,System initialization and readiness check,"1: log ""Initializing dataPull agent system..."" 2: call FC (foc RMS) # Run comprehensive functions check 3: verify Master_Instructions.txt exists; if not recreate from template 4: create_file ""Session_Log_[timestamp].txt"" for current session 5: log ""System initialization complete - ready for RFIs"" 6: log ""Sys rdy RFIs"" 7: exit"
_WARRANT_CHECK|$SID|$JUR:,_WC,general,Check warrant status for subject ID in jurisdiction,"1: call FC (foc RMS) 2: nav warrant search interface 3: enter $SID in subject field; select $JUR from jurisdiction dropdown 4: subm; wait for results 5: OCR extract warrant details: status date issued agency 6: if active warrant: log ""ACTIVE WARRANT FOUND""; extract full details 7: if no warrant: log ""No active warrants found"" 8: format results as JSON: {subject_id jurisdiction warrant_status details} 9: exit"
_INCIDENT_REPORT|$DR|$LOC:,_IR,general,Generate incident report for date range and location,"1: call FC (foc RMS) 2: nav incident reporting interface 3: set date range to $DR; set location filter to $LOC 4: subm; wait for results 5: OCR extract incident details: case numbers dates locations types 6: for each incident: extract full details including narrative 7: compile comprehensive report 8: format as JSON: {date_range location incidents summary} 9: exit"
_PROPERTY_SEARCH|$IDESC|$SNUM:,_PS,general,Search for property by description and serial number,"1: call FC (foc RMS) 2: nav property search interface 3: enter $IDESC in description field; enter $SNUM in serial field 4: subm; wait for results 5: OCR extract property details: make model serial status 6: if found: extract full property record including history 7: if not found: log ""Property not found in database"" 8: format results as JSON: {description serial_number property_details} 9: exit"
_FACIAL_RECOGNITION|$IMG_URL|$SNAM:,_FR,general,Run facial recognition on image against known subjects,"1: call FC (foc OSINT) 2: nav facial recognition interface 3: upload image from $IMG_URL 4: if $SNAM provided: search against specific subject database 5: if no $SNAM: run general facial recognition search 6: wait for processing results 7: OCR extract match details: confidence score subject info 8: if match found: extract full subject details 9: format results as JSON: {image_url search_subject matches confidence} 10: exit"
_OSINT_ASSOCIATES|$SNAM|$DEPTH:,_OA,general,Find associates and connections via OSINT sources,"1: call FC (foc OSINT) 2: nav OSINT search interface 3: enter $SNAM in search field 4: set search depth to $DEPTH (1=direct 2=associates 3=extended) 5: subm; wait for results 6: OCR extract associate details: names relationships connections 7: for each associate: extract additional details 8: build relationship network map 9: format results as JSON: {subject_name search_depth associates network} 10: exit"
_NARRATIVE_EXTRACT|$CID:,_NE,general,Extract and analyze narrative from case ID,"1: call FC (foc RMS) 2: nav case details interface 3: enter $CID in case number field 4: subm; wait for case to load 5: navigate to narrative section 6: OCR extract full narrative text 7: analyze narrative for key details: persons locations times events 8: extract any additional narrative sections 9: format results as JSON: {case_id narrative_text analysis key_details} 10: exit"
_EXPLORE_RMS|$USER|$PASS:,_ER,general,Explore RMS system capabilities and structure,"1: call FC (foc RMS) 2: login $USER|$PASS 3: nav main menu; explore available modules 4: for each module: test basic functionality 5: document system capabilities and limitations 6: identify key navigation paths 7: test search functions across modules 8: create system map and documentation 9: format results as JSON: {system_capabilities modules navigation_paths limitations} 10: exit"
_ADDRESS_FULL_REPORT|$ADDRESS:,_AFR,general,Generate comprehensive address report,"1: call FC (foc RMS) 2: nav address search interface 3: enter $ADDRESS in search field 4: subm; wait for results 5: extract address details: property info owner history 6: search for all incidents at address 7: extract associated persons and vehicles 8: compile comprehensive address profile 9: format results as JSON: {address property_info incidents persons vehicles} 10: exit"
_ADDRESS_CFS_HISTORY|$ADDRESS|$DATE_RANGE:,_ACH,general,Get call for service history for address in date range,"1: call FC (foc RMS) 2: nav CAD call search interface 3: enter $ADDRESS in address field 4: set date range to $DATE_RANGE 5: subm; wait for results 6: OCR extract call details: dates times types responses 7: for each call: extract full details including narrative 8: analyze call patterns and frequency 9: format results as JSON: {address date_range calls patterns analysis} 10: exit"
_ADDRESS_KNOWN_PERSONS|$ADDRESS:,_AKP,general,Find known persons associated with address,"1: call FC (foc RMS) 2: nav address search interface 3: enter $ADDRESS in search field 4: subm; wait for results 5: navigate to associated persons section 6: OCR extract person details: names DOBs relationships 7: for each person: extract additional details 8: compile person database for address 9: format results as JSON: {address known_persons details relationships} 10: exit"
_ADDRESS_VEHICLES|$ADDRESS:,_AV,general,Find vehicles associated with address,"1: call FC (foc RMS) 2: nav address search interface 3: enter $ADDRESS in search field 4: subm; wait for results 5: navigate to vehicle section 6: OCR extract vehicle details: makes models plates owners 7: for each vehicle: extract registration and history 8: compile vehicle database for address 9: format results as JSON: {address vehicles details registrations} 10: exit"
_ADDRESS_WEAPONS_INFO|$ADDRESS:,_AWI,general,Check for weapons information at address,"1: call FC (foc RMS) 2: nav address search interface 3: enter $ADDRESS in search field 4: subm; wait for results 5: search for weapons-related incidents 6: OCR extract weapons details: types serial numbers status 7: check for weapons permits or registrations 8: compile weapons information for address 9: format results as JSON: {address weapons incidents permits} 10: exit"
_ADDRESS_HAZARDS|$ADDRESS:,_AH,general,Check for hazards and safety concerns at address,"1: call FC (foc RMS) 2: nav address search interface 3: enter $ADDRESS in search field 4: subm; wait for results 5: search for hazard-related incidents 6: OCR extract hazard details: types severity dates 7: check for safety alerts or warnings 8: compile hazard assessment for address 9: format results as JSON: {address hazards safety_alerts assessment} 10: exit"
_DEPLOY_AGENT_MONITOR|$mode:,_DAM,general,Deploy agent monitor script to restart agent if it dies,"1: log ""Deploying agent monitor script mode: $mode"" 2: if $mode == ""batch"": create_file ""agent_monitor.bat"" with content: ""@echo off :loop timeout /t 30 /nobreak >nul tasklist /FI ""IMAGENAME eq python.exe"" /FI ""WINDOWTITLE eq *dataPull*"" | find ""python.exe"" >nul if errorlevel 1 ( echo Agent not running starting... python agency_input_form.py goto loop ) else ( echo Agent running waiting... goto loop )"" 3: if $mode == ""powershell"": create_file ""agent_monitor.ps1"" with content: ""while ($true) { Start-Sleep -Seconds 30 $process = Get-Process -Name python -ErrorAction SilentlyContinue | Where-Object {$_.MainWindowTitle -like ""*dataPull*""} if (-not $process) { Write-Host ""Agent not running starting..."" Start-Process python -ArgumentList ""agency_input_form.py"" } else { Write-Host ""Agent running waiting..."" } }"" 4: if $mode == ""both"": create both batch and powershell versions with above 5: create_file ""start_monitor.bat"" with content: ""@echo off echo Starting dataPull Agent Monitor... if exist agent_monitor.bat ( agent_monitor.bat ) else ( echo Monitor script not found. Please run the deployment first. pause )"" 6: create_file ""README.txt"" with content: ""dataPull Agent Monitor This monitor automatically restarts the dataPull agent if it stops running. Usage: 1. Run _DEPLOY_AGENT_MONITOR|batch (or powershell) 2. Run start_monitor.bat 3. The monitor will check every 30 seconds and restart if needed To stop: Close the command window or press Ctrl+C"" 7: log ""Agent monitor deployment complete"" 8: exit"
